Date,Time,Water Temp C,Water RowID,SiteID,Water LoggerID,Date Time
22-Jun-13,11:30,18.105,,HRCC,9734130,2013-06-22 11:30
22-Jun-13,12:00,18.438,,HRCC,9734130,2013-06-22 12:00
22-Jun-13,12:30,18.771,,HRCC,9734130,2013-06-22 12:30
22-Jun-13,13:00,19.151,,HRCC,9734130,2013-06-22 13:00
22-Jun-13,13:30,19.508,,HRCC,9734130,2013-06-22 13:30
22-Jun-13,14:00,19.841,,HRCC,9734130,2013-06-22 14:00
22-Jun-13,14:30,20.126,,HRCC,9734130,2013-06-22 14:30
22-Jun-13,15:00,20.341,,HRCC,9734130,2013-06-22 15:00
22-Jun-13,15:30,20.531,,HRCC,9734130,2013-06-22 15:30
22-Jun-13,16:00,20.65,,HRCC,9734130,2013-06-22 16:00
22-Jun-13,16:30,20.77,,HRCC,9734130,2013-06-22 16:30
22-Jun-13,17:00,20.841,,HRCC,9734130,2013-06-22 17:00
22-Jun-13,17:30,20.889,,HRCC,9734130,2013-06-22 17:30
22-Jun-13,18:00,20.913,,HRCC,9734130,2013-06-22 18:00
22-Jun-13,18:30,20.936,,HRCC,9734130,2013-06-22 18:30
22-Jun-13,19:00,20.96,,HRCC,9734130,2013-06-22 19:00
22-Jun-13,19:30,20.936,,HRCC,9734130,2013-06-22 19:30
22-Jun-13,20:00,20.936,,HRCC,9734130,2013-06-22 20:00
22-Jun-13,20:30,20.913,,HRCC,9734130,2013-06-22 20:30
22-Jun-13,21:00,20.889,,HRCC,9734130,2013-06-22 21:00
22-Jun-13,21:30,20.841,,HRCC,9734130,2013-06-22 21:30
22-Jun-13,22:00,20.77,,HRCC,9734130,2013-06-22 22:00
22-Jun-13,22:30,20.698,,HRCC,9734130,2013-06-22 22:30
22-Jun-13,23:00,20.603,,HRCC,9734130,2013-06-22 23:00
22-Jun-13,23:30,20.507,,HRCC,9734130,2013-06-22 23:30
23-Jun-13,00:00,20.388,,HRCC,9734130,2013-06-23 00:00
23-Jun-13,00:30,20.246,,HRCC,9734130,2013-06-23 00:30
23-Jun-13,01:00,20.103,,HRCC,9734130,2013-06-23 01:00
23-Jun-13,01:30,19.984,,HRCC,9734130,2013-06-23 01:30
23-Jun-13,02:00,19.817,,HRCC,9734130,2013-06-23 02:00
23-Jun-13,02:30,19.674,,HRCC,9734130,2013-06-23 02:30
23-Jun-13,03:00,19.532,,HRCC,9734130,2013-06-23 03:00
23-Jun-13,03:30,19.436,,HRCC,9734130,2013-06-23 03:30
23-Jun-13,04:00,19.318,,HRCC,9734130,2013-06-23 04:00
23-Jun-13,04:30,19.222,,HRCC,9734130,2013-06-23 04:30
23-Jun-13,05:00,19.127,,HRCC,9734130,2013-06-23 05:00
23-Jun-13,05:30,19.056,,HRCC,9734130,2013-06-23 05:30
23-Jun-13,06:00,18.985,,HRCC,9734130,2013-06-23 06:00
23-Jun-13,06:30,18.937,,HRCC,9734130,2013-06-23 06:30
23-Jun-13,07:00,18.889,,HRCC,9734130,2013-06-23 07:00
23-Jun-13,07:30,18.842,,HRCC,9734130,2013-06-23 07:30
23-Jun-13,08:00,18.842,,HRCC,9734130,2013-06-23 08:00
23-Jun-13,08:30,18.842,,HRCC,9734130,2013-06-23 08:30
23-Jun-13,09:00,18.889,,HRCC,9734130,2013-06-23 09:00
23-Jun-13,09:30,18.985,,HRCC,9734130,2013-06-23 09:30
23-Jun-13,10:00,19.08,,HRCC,9734130,2013-06-23 10:00
23-Jun-13,10:30,19.222,,HRCC,9734130,2013-06-23 10:30
23-Jun-13,11:00,19.436,,HRCC,9734130,2013-06-23 11:00
23-Jun-13,11:30,19.746,,HRCC,9734130,2013-06-23 11:30
23-Jun-13,12:00,20.126,,HRCC,9734130,2013-06-23 12:00
23-Jun-13,12:30,20.46,,HRCC,9734130,2013-06-23 12:30
23-Jun-13,13:00,20.865,,HRCC,9734130,2013-06-23 13:00
23-Jun-13,13:30,21.223,,HRCC,9734130,2013-06-23 13:30
23-Jun-13,14:00,21.557,,HRCC,9734130,2013-06-23 14:00
23-Jun-13,14:30,21.915,,HRCC,9734130,2013-06-23 14:30
23-Jun-13,15:00,22.178,,HRCC,9734130,2013-06-23 15:00
23-Jun-13,15:30,22.393,,HRCC,9734130,2013-06-23 15:30
23-Jun-13,16:00,22.561,,HRCC,9734130,2013-06-23 16:00
23-Jun-13,16:30,22.657,,HRCC,9734130,2013-06-23 16:30
23-Jun-13,17:00,22.681,,HRCC,9734130,2013-06-23 17:00
23-Jun-13,17:30,22.681,,HRCC,9734130,2013-06-23 17:30
23-Jun-13,18:00,22.681,,HRCC,9734130,2013-06-23 18:00
23-Jun-13,18:30,22.609,,HRCC,9734130,2013-06-23 18:30
23-Jun-13,19:00,22.537,,HRCC,9734130,2013-06-23 19:00
23-Jun-13,19:30,22.465,,HRCC,9734130,2013-06-23 19:30
23-Jun-13,20:00,22.441,,HRCC,9734130,2013-06-23 20:00
23-Jun-13,20:30,22.393,,HRCC,9734130,2013-06-23 20:30
23-Jun-13,21:00,22.345,,HRCC,9734130,2013-06-23 21:00
23-Jun-13,21:30,22.298,,HRCC,9734130,2013-06-23 21:30
23-Jun-13,22:00,22.25,,HRCC,9734130,2013-06-23 22:00
23-Jun-13,22:30,22.202,,HRCC,9734130,2013-06-23 22:30
23-Jun-13,23:00,22.154,,HRCC,9734130,2013-06-23 23:00
23-Jun-13,23:30,22.106,,HRCC,9734130,2013-06-23 23:30
24-Jun-13,00:00,22.034,,HRCC,9734130,2013-06-24 00:00
24-Jun-13,00:30,21.987,,HRCC,9734130,2013-06-24 00:30
24-Jun-13,01:00,21.891,,HRCC,9734130,2013-06-24 01:00
24-Jun-13,01:30,21.819,,HRCC,9734130,2013-06-24 01:30
