Water RowID,Date, Time,Water Temp C,SiteID,Water LoggerID,Date Time
1477,18-Nov-12,09:00:00,2.53,PBCC,10000520,2012-11-18 09:00
1478,18-Nov-12,09:30:00,2.53,PBCC,10000520,2012-11-18 09:30
1479,18-Nov-12,10:00:00,2.584,PBCC,10000520,2012-11-18 10:00
1480,18-Nov-12,10:30:00,2.69,PBCC,10000520,2012-11-18 10:30
1481,18-Nov-12,11:00:00,2.823,PBCC,10000520,2012-11-18 11:00
1482,18-Nov-12,11:30:00,2.956,PBCC,10000520,2012-11-18 11:30
1483,18-Nov-12,12:00:00,3.116,PBCC,10000520,2012-11-18 12:00
1484,18-Nov-12,12:30:00,3.248,PBCC,10000520,2012-11-18 12:30
1485,18-Nov-12,13:00:00,3.433,PBCC,10000520,2012-11-18 13:00
1486,18-Nov-12,13:30:00,3.591,PBCC,10000520,2012-11-18 13:30
1487,18-Nov-12,14:00:00,3.749,PBCC,10000520,2012-11-18 14:00
1488,18-Nov-12,14:30:00,3.906,PBCC,10000520,2012-11-18 14:30
1489,18-Nov-12,15:00:00,4.011,PBCC,10000520,2012-11-18 15:00
1490,18-Nov-12,15:30:00,4.115,PBCC,10000520,2012-11-18 15:30
1491,18-Nov-12,16:00:00,4.194,PBCC,10000520,2012-11-18 16:00
1492,18-Nov-12,16:30:00,4.246,PBCC,10000520,2012-11-18 16:30
1493,18-Nov-12,17:00:00,4.272,PBCC,10000520,2012-11-18 17:00
1494,18-Nov-12,17:30:00,4.272,PBCC,10000520,2012-11-18 17:30
1495,18-Nov-12,18:00:00,4.272,PBCC,10000520,2012-11-18 18:00
1496,18-Nov-12,18:30:00,4.272,PBCC,10000520,2012-11-18 18:30
1497,18-Nov-12,19:00:00,4.246,PBCC,10000520,2012-11-18 19:00
1498,18-Nov-12,19:30:00,4.168,PBCC,10000520,2012-11-18 19:30
1499,18-Nov-12,20:00:00,4.089,PBCC,10000520,2012-11-18 20:00
1500,18-Nov-12,20:30:00,4.037,PBCC,10000520,2012-11-18 20:30
1501,18-Nov-12,21:00:00,3.906,PBCC,10000520,2012-11-18 21:00
1502,18-Nov-12,21:30:00,3.854,PBCC,10000520,2012-11-18 21:30
1503,18-Nov-12,22:00:00,3.775,PBCC,10000520,2012-11-18 22:00
1504,18-Nov-12,22:30:00,3.722,PBCC,10000520,2012-11-18 22:30
1505,18-Nov-12,23:00:00,3.643,PBCC,10000520,2012-11-18 23:00
1506,18-Nov-12,23:30:00,3.564,PBCC,10000520,2012-11-18 23:30
1507,19-Nov-12,00:00:00,3.485,PBCC,10000520,2012-11-19 00:00
1508,19-Nov-12,00:30:00,3.406,PBCC,10000520,2012-11-19 00:30
1509,19-Nov-12,01:00:00,3.327,PBCC,10000520,2012-11-19 01:00
1510,19-Nov-12,01:30:00,3.248,PBCC,10000520,2012-11-19 01:30
1511,19-Nov-12,02:00:00,3.168,PBCC,10000520,2012-11-19 02:00
1512,19-Nov-12,02:30:00,3.116,PBCC,10000520,2012-11-19 02:30
1513,19-Nov-12,03:00:00,3.009,PBCC,10000520,2012-11-19 03:00
1514,19-Nov-12,03:30:00,2.93,PBCC,10000520,2012-11-19 03:30
1515,19-Nov-12,04:00:00,2.823,PBCC,10000520,2012-11-19 04:00
1516,19-Nov-12,04:30:00,2.77,PBCC,10000520,2012-11-19 04:30
1517,19-Nov-12,05:00:00,2.69,PBCC,10000520,2012-11-19 05:00
1518,19-Nov-12,05:30:00,2.61,PBCC,10000520,2012-11-19 05:30
1519,19-Nov-12,06:00:00,2.53,PBCC,10000520,2012-11-19 06:00
1520,19-Nov-12,06:30:00,2.477,PBCC,10000520,2012-11-19 06:30
1521,19-Nov-12,07:00:00,2.423,PBCC,10000520,2012-11-19 07:00
1522,19-Nov-12,07:30:00,2.343,PBCC,10000520,2012-11-19 07:30
1523,19-Nov-12,08:00:00,2.289,PBCC,10000520,2012-11-19 08:00
1524,19-Nov-12,08:30:00,2.262,PBCC,10000520,2012-11-19 08:30
1525,19-Nov-12,09:00:00,2.209,PBCC,10000520,2012-11-19 09:00
1526,19-Nov-12,09:30:00,2.236,PBCC,10000520,2012-11-19 09:30
1527,19-Nov-12,10:00:00,2.262,PBCC,10000520,2012-11-19 10:00
1528,19-Nov-12,10:30:00,2.343,PBCC,10000520,2012-11-19 10:30
1529,19-Nov-12,11:00:00,2.45,PBCC,10000520,2012-11-19 11:00
1530,19-Nov-12,11:30:00,2.61,PBCC,10000520,2012-11-19 11:30
1531,19-Nov-12,12:00:00,2.77,PBCC,10000520,2012-11-19 12:00
1532,19-Nov-12,12:30:00,2.956,PBCC,10000520,2012-11-19 12:30
1533,19-Nov-12,13:00:00,3.142,PBCC,10000520,2012-11-19 13:00
1534,19-Nov-12,13:30:00,3.274,PBCC,10000520,2012-11-19 13:30
1535,19-Nov-12,14:00:00,3.433,PBCC,10000520,2012-11-19 14:00
