GageID,SiteID,Date.Time,Water.Temp.C,Water.Temp.C_cd,Air.Temp.C,Air.Temp.C_cd,Discharge.ft3.s,Discharge.ft3.s_cd,Water.Level.ft,Water.Level.ft_cd
01187300,01187300,2012-01-02 03:15:00,NA,NA,NA,NA,NA,NA,2.24,A
01187300,01187300,2012-01-02 03:30:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 03:45:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 04:00:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 04:15:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 04:30:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 04:45:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 05:00:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 05:15:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 05:30:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 05:45:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 06:00:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 06:15:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 06:30:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 06:45:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 07:00:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 07:15:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 07:30:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 07:45:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 08:00:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 08:15:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 08:30:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 08:45:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 09:00:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 09:15:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 09:30:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 09:45:00,NA,NA,NA,NA,NA,NA,2.27,A
01187300,01187300,2012-01-02 10:00:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 10:15:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 10:30:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 10:45:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 11:00:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 11:15:00,NA,NA,NA,NA,NA,NA,2.26,A
01187300,01187300,2012-01-02 11:30:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 11:45:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 12:00:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 12:15:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 12:30:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 12:45:00,NA,NA,NA,NA,NA,NA,2.25,A
01187300,01187300,2012-01-02 13:00:00,NA,NA,NA,NA,NA,NA,2.24,A
01187300,01187300,2012-01-02 13:15:00,NA,NA,NA,NA,NA,NA,2.24,A
01187300,01187300,2012-01-02 13:30:00,NA,NA,NA,NA,NA,NA,2.24,A
01187300,01187300,2012-01-02 13:45:00,NA,NA,NA,NA,NA,NA,2.24,A
01187300,01187300,2012-01-02 14:00:00,NA,NA,NA,NA,NA,NA,2.24,A
01187300,01187300,2012-01-02 14:15:00,NA,NA,NA,NA,NA,NA,2.24,A
01187300,01187300,2012-01-02 14:30:00,NA,NA,NA,NA,NA,NA,2.23,A
01187300,01187300,2012-01-02 14:45:00,NA,NA,NA,NA,NA,NA,2.23,A
01187300,01187300,2012-01-02 15:00:00,NA,NA,NA,NA,NA,NA,2.23,A
01187300,01187300,2012-01-02 15:15:00,NA,NA,NA,NA,NA,NA,2.23,A
01187300,01187300,2012-01-02 15:30:00,NA,NA,NA,NA,NA,NA,2.23,A
01187300,01187300,2012-01-02 15:45:00,NA,NA,NA,NA,NA,NA,2.22,A
01187300,01187300,2012-01-02 16:00:00,NA,NA,NA,NA,NA,NA,2.22,A
01187300,01187300,2012-01-02 16:15:00,NA,NA,NA,NA,NA,NA,2.22,A
01187300,01187300,2012-01-02 16:30:00,NA,NA,NA,NA,NA,NA,2.22,A
01187300,01187300,2012-01-02 16:45:00,NA,NA,NA,NA,NA,NA,2.22,A
01187300,01187300,2012-01-02 17:00:00,NA,NA,NA,NA,NA,NA,2.22,A
01187300,01187300,2012-01-02 17:15:00,NA,NA,NA,NA,NA,NA,2.21,A
01187300,01187300,2012-01-02 17:30:00,NA,NA,NA,NA,NA,NA,2.21,A
01187300,01187300,2012-01-02 17:45:00,NA,NA,NA,NA,NA,NA,2.21,A
01187300,01187300,2012-01-02 18:00:00,NA,NA,NA,NA,NA,NA,2.21,A
01187300,01187300,2012-01-02 18:15:00,NA,NA,NA,NA,NA,NA,2.21,A
01187300,01187300,2012-01-02 18:30:00,NA,NA,NA,NA,NA,NA,2.2,A
01187300,01187300,2012-01-02 18:45:00,NA,NA,NA,NA,NA,NA,2.2,A
01187300,01187300,2012-01-02 19:00:00,NA,NA,NA,NA,NA,NA,2.2,A
01187300,01187300,2012-01-02 19:15:00,NA,NA,NA,NA,NA,NA,2.2,A
01187300,01187300,2012-01-02 19:30:00,NA,NA,NA,NA,NA,NA,2.2,A
01187300,01187300,2012-01-02 19:45:00,NA,NA,NA,NA,NA,NA,2.19,A
01187300,01187300,2012-01-02 20:00:00,NA,NA,NA,NA,NA,NA,2.19,A
01187300,01187300,2012-01-02 20:15:00,NA,NA,NA,NA,NA,NA,2.19,A
01187300,01187300,2012-01-02 20:30:00,NA,NA,NA,NA,NA,NA,2.19,A
01187300,01187300,2012-01-02 20:45:00,NA,NA,NA,NA,NA,NA,2.19,A
01187300,01187300,2012-01-02 21:00:00,NA,NA,NA,NA,NA,NA,2.19,A
01187300,01187300,2012-01-02 21:15:00,NA,NA,NA,NA,NA,NA,2.18,A
01187300,01187300,2012-01-02 21:30:00,NA,NA,NA,NA,NA,NA,2.18,A
01187300,01187300,2012-01-02 21:45:00,NA,NA,NA,NA,NA,NA,2.18,A
01187300,01187300,2012-01-02 22:00:00,NA,NA,NA,NA,NA,NA,2.18,A
01187300,01187300,2012-01-02 22:15:00,NA,NA,NA,NA,NA,NA,2.18,A
01187300,01187300,2012-01-02 22:30:00,NA,NA,NA,NA,NA,NA,2.17,A
01187300,01187300,2012-01-02 22:45:00,NA,NA,NA,NA,NA,NA,2.17,A
01187300,01187300,2012-01-02 23:00:00,NA,NA,NA,NA,NA,NA,2.17,A
01187300,01187300,2012-01-02 23:15:00,NA,NA,NA,NA,NA,NA,2.17,A
01187300,01187300,2012-01-02 23:30:00,NA,NA,NA,NA,NA,NA,2.17,A
01187300,01187300,2012-01-02 23:45:00,NA,NA,NA,NA,NA,NA,2.17,A
01187300,01187300,2012-01-03 00:00:00,NA,NA,NA,NA,NA,NA,2.16,A
01187300,01187300,2012-01-03 00:15:00,NA,NA,NA,NA,NA,NA,2.16,A
01187300,01187300,2012-01-03 00:30:00,NA,NA,NA,NA,NA,NA,2.16,A
01187300,01187300,2012-01-03 00:45:00,NA,NA,NA,NA,NA,NA,2.16,A
01187300,01187300,2012-01-03 01:00:00,NA,NA,NA,NA,NA,NA,2.16,A
01187300,01187300,2012-01-03 01:15:00,NA,NA,NA,NA,NA,NA,2.15,A
01187300,01187300,2012-01-03 01:30:00,NA,NA,NA,NA,NA,NA,2.15,A
01187300,01187300,2012-01-03 01:45:00,NA,NA,NA,NA,NA,NA,2.15,A
01187300,01187300,2012-01-03 02:00:00,NA,NA,NA,NA,NA,NA,2.15,A
01187300,01187300,2012-01-03 02:15:00,NA,NA,NA,NA,NA,NA,2.15,A
01187300,01187300,2012-01-03 02:30:00,NA,NA,NA,NA,NA,NA,2.15,A
01187300,01187300,2012-01-03 02:45:00,NA,NA,NA,NA,NA,NA,2.14,A
01187300,01187300,2012-01-03 03:00:00,NA,NA,NA,NA,NA,NA,2.14,A
01187300,01187300,2012-01-03 03:15:00,NA,NA,NA,NA,NA,NA,2.14,A
01187300,01187300,2012-01-03 03:30:00,NA,NA,NA,NA,NA,NA,2.14,A
01187300,01187300,2012-01-03 03:45:00,NA,NA,NA,NA,NA,NA,2.14,A
01187300,01187300,2012-01-03 04:00:00,NA,NA,NA,NA,NA,NA,2.13,A
01187300,01187300,2012-01-03 04:15:00,NA,NA,NA,NA,NA,NA,2.13,A
01187300,01187300,2012-01-03 04:30:00,NA,NA,NA,NA,NA,NA,2.13,A
01187300,01187300,2012-01-03 04:45:00,NA,NA,NA,NA,NA,NA,2.13,A
01187300,01187300,2012-01-03 05:00:00,NA,NA,NA,NA,NA,NA,2.12,A
01187300,01187300,2012-01-03 05:15:00,NA,NA,NA,NA,NA,NA,2.12,A
01187300,01187300,2012-01-03 05:30:00,NA,NA,NA,NA,NA,NA,2.12,A
01187300,01187300,2012-01-03 05:45:00,NA,NA,NA,NA,NA,NA,2.12,A
01187300,01187300,2012-01-03 06:00:00,NA,NA,NA,NA,NA,NA,2.11,A
01187300,01187300,2012-01-03 06:15:00,NA,NA,NA,NA,NA,NA,2.11,A
01187300,01187300,2012-01-03 06:30:00,NA,NA,NA,NA,NA,NA,2.11,A
01187300,01187300,2012-01-03 06:45:00,NA,NA,NA,NA,NA,NA,2.11,A
01187300,01187300,2012-01-03 07:00:00,NA,NA,NA,NA,NA,NA,2.1,A
01187300,01187300,2012-01-03 07:15:00,NA,NA,NA,NA,NA,NA,2.1,A
01187300,01187300,2012-01-03 07:30:00,NA,NA,NA,NA,NA,NA,2.1,A
01187300,01187300,2012-01-03 07:45:00,NA,NA,NA,NA,NA,NA,2.1,A
01187300,01187300,2012-01-03 08:00:00,NA,NA,NA,NA,NA,NA,2.1,A
01187300,01187300,2012-01-03 08:15:00,NA,NA,NA,NA,NA,NA,2.09,A
01187300,01187300,2012-01-03 08:30:00,NA,NA,NA,NA,NA,NA,2.09,A
01187300,01187300,2012-01-03 08:45:00,NA,NA,NA,NA,NA,NA,2.09,A
01187300,01187300,2012-01-03 09:00:00,NA,NA,NA,NA,NA,NA,2.09,A
01187300,01187300,2012-01-03 09:15:00,NA,NA,NA,NA,NA,NA,2.08,A
01187300,01187300,2012-01-03 09:30:00,NA,NA,NA,NA,NA,NA,2.08,A
01187300,01187300,2012-01-03 09:45:00,NA,NA,NA,NA,NA,NA,2.08,A
01187300,01187300,2012-01-03 10:00:00,NA,NA,NA,NA,NA,NA,2.08,A
01187300,01187300,2012-01-03 10:15:00,NA,NA,NA,NA,NA,NA,2.07,A
01187300,01187300,2012-01-03 10:30:00,NA,NA,NA,NA,NA,NA,2.07,A
01187300,01187300,2012-01-03 10:45:00,NA,NA,NA,NA,NA,NA,2.07,A
01187300,01187300,2012-01-03 11:00:00,NA,NA,NA,NA,NA,NA,2.06,A
01187300,01187300,2012-01-03 11:15:00,NA,NA,NA,NA,NA,NA,2.06,A
01187300,01187300,2012-01-03 11:30:00,NA,NA,NA,NA,NA,NA,2.06,A
01187300,01187300,2012-01-03 11:45:00,NA,NA,NA,NA,NA,NA,2.05,A
01187300,01187300,2012-01-03 12:00:00,NA,NA,NA,NA,NA,NA,2.05,A
01187300,01187300,2012-01-03 12:15:00,NA,NA,NA,NA,NA,NA,2.05,A
01187300,01187300,2012-01-03 12:30:00,NA,NA,NA,NA,NA,NA,2.05,A
01187300,01187300,2012-01-03 12:45:00,NA,NA,NA,NA,NA,NA,2.04,A
01187300,01187300,2012-01-03 13:00:00,NA,NA,NA,NA,NA,NA,2.04,A
